,CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
35,36,32,1,1,96.8,Month-to-Month,Fiber Optic,96.8,No,1
36,37,47,0,18,45.29,Month-to-Month,DSL,815.22,Yes,1
37,38,25,1,23,47.55,One-Year,Fiber Optic,1093.65,Yes,0
38,39,31,1,2,110.14,Month-to-Month,,220.28,No,1
39,40,46,1,9,97.5,Month-to-Month,,877.5,No,1
40,41,52,0,12,111.74,One-Year,Fiber Optic,1340.88,Yes,1
41,42,46,1,9,98.28,Two-Year,Fiber Optic,884.52,Yes,1
42,43,43,0,2,83.74,Month-to-Month,,167.48,No,1
43,44,41,0,10,88.87,Month-to-Month,DSL,888.7,Yes,1
44,45,30,0,27,110.02,Month-to-Month,,2970.54,No,1
45,46,37,0,1,82.09,Month-to-Month,,82.09,No,1
46,47,40,1,1,86.92,Two-Year,DSL,86.92,Yes,1
47,48,55,1,8,44.08,Two-Year,DSL,352.64,No,1
48,49,48,1,56,72.65,One-Year,,4068.400000000001,No,1
49,50,27,0,22,94.48,Month-to-Month,Fiber Optic,2078.56,Yes,1
50,51,48,0,22,54.38,One-Year,DSL,1196.36,Yes,0
51,52,41,0,8,48.2,One-Year,DSL,385.6,No,1
52,53,38,1,18,58.24,Two-Year,Fiber Optic,1048.32,Yes,0
53,54,51,0,0,51.74,One-Year,Fiber Optic,0.0,No,1
54,55,55,1,20,49.34,One-Year,,986.8,No,1
55,56,54,1,48,68.24,One-Year,,3275.5199999999995,No,1
56,57,36,0,18,111.71,Month-to-Month,DSL,2010.78,Yes,1
57,58,41,1,41,75.64,Two-Year,Fiber Optic,3101.24,Yes,0
58,59,48,1,25,46.91,One-Year,Fiber Optic,1172.75,No,1
59,60,54,1,2,36.93,One-Year,Fiber Optic,73.86,No,1
60,61,40,1,46,92.65,Month-to-Month,DSL,4261.900000000001,Yes,1
61,62,43,0,1,64.45,One-Year,,64.45,No,1
62,63,33,0,15,103.96,One-Year,,1559.4,No,1
63,64,33,1,3,89.36,Month-to-Month,Fiber Optic,268.08,Yes,1
64,65,53,1,0,101.66,Month-to-Month,Fiber Optic,0.0,Yes,1
65,66,58,0,10,54.48,One-Year,DSL,544.8,Yes,1
66,67,44,1,6,92.31,One-Year,Fiber Optic,553.86,Yes,1
67,68,55,1,13,53.77,One-Year,Fiber Optic,699.01,Yes,0
68,69,48,1,17,114.52,Month-to-Month,Fiber Optic,1946.84,Yes,1
69,70,38,0,0,87.27,One-Year,,0.0,No,1
70,71,48,1,2,59.21,Month-to-Month,Fiber Optic,118.42,Yes,1
71,72,60,1,16,54.26,Month-to-Month,Fiber Optic,868.16,Yes,1
72,73,44,0,8,47.18,Month-to-Month,,377.44,No,1
73,74,60,0,26,92.52,Month-to-Month,DSL,2405.52,No,1
74,75,18,1,21,49.68,Month-to-Month,Fiber Optic,1043.28,Yes,1
75,76,53,0,37,83.58,Month-to-Month,Fiber Optic,3092.46,Yes,1
76,77,45,1,23,53.82,Month-to-Month,Fiber Optic,1237.86,No,1
77,78,42,1,11,89.58,Month-to-Month,,985.38,No,1
78,79,45,0,22,103.34,One-Year,Fiber Optic,2273.48,Yes,1
79,80,25,1,6,100.02,Month-to-Month,,600.12,No,1
80,81,42,0,7,98.48,Month-to-Month,Fiber Optic,689.36,No,1
81,82,48,1,31,46.9,Two-Year,Fiber Optic,1453.9,No,1
82,83,59,0,11,37.95,Month-to-Month,,417.4500000000001,No,1
83,84,39,1,32,92.91,One-Year,DSL,2973.12,No,1
84,85,36,0,34,63.15,Month-to-Month,DSL,2147.1,Yes,1
85,86,39,0,38,68.91,Month-to-Month,Fiber Optic,2618.58,Yes,1
86,87,54,1,49,32.8,One-Year,DSL,1607.1999999999998,Yes,0
87,88,48,0,11,53.36,One-Year,DSL,586.96,Yes,1
88,89,39,1,7,33.03,Two-Year,Fiber Optic,231.21,Yes,1
89,90,50,0,17,109.13,One-Year,Fiber Optic,1855.21,Yes,1
90,91,45,1,9,51.91,Two-Year,Fiber Optic,467.19,Yes,1
91,92,54,0,18,80.16,Month-to-Month,,1442.88,No,1
92,93,37,1,24,33.51,Month-to-Month,Fiber Optic,804.24,Yes,1
93,94,41,0,23,90.02,Month-to-Month,,2070.46,No,1
94,95,41,0,9,59.07,Month-to-Month,DSL,531.63,Yes,1
95,96,30,0,3,110.81,One-Year,Fiber Optic,332.43,Yes,1
96,97,47,0,11,109.93,One-Year,,1209.23,No,1
97,98,47,1,3,59.28,Month-to-Month,Fiber Optic,177.84,Yes,1
98,99,45,0,44,111.09,Two-Year,,4887.96,No,1
99,100,42,1,8,119.65,Two-Year,Fiber Optic,957.2,Yes,1
100,101,30,0,3,104.29,Month-to-Month,DSL,312.87,Yes,1
101,102,40,0,0,106.04,Month-to-Month,Fiber Optic,0.0,Yes,1
102,103,41,1,20,52.41,Month-to-Month,Fiber Optic,1048.1999999999998,Yes,1
103,104,36,1,20,81.9,Month-to-Month,,1638.0,No,1
104,105,43,0,8,36.05,Month-to-Month,DSL,288.4,Yes,1
105,106,49,0,1,38.54,One-Year,,38.54,No,1
106,107,63,0,10,119.9,Month-to-Month,,1199.0,No,1
107,108,46,1,7,59.4,Month-to-Month,DSL,415.8,No,1
108,109,47,1,22,97.34,Two-Year,Fiber Optic,2141.48,Yes,0
109,110,44,0,18,102.6,One-Year,,1846.8,No,1
110,111,25,1,9,107.22,Two-Year,,964.98,No,1
111,112,44,1,4,119.79,Month-to-Month,Fiber Optic,479.16,Yes,1
112,113,45,1,88,51.73,Month-to-Month,Fiber Optic,4552.24,Yes,1
113,114,69,1,12,33.63,One-Year,Fiber Optic,403.56000000000006,No,1
114,115,43,0,23,67.01,Month-to-Month,Fiber Optic,1541.23,Yes,1
115,116,48,0,3,41.71,Month-to-Month,DSL,125.13,Yes,1
116,117,44,0,13,32.02,One-Year,,416.2600000000001,No,1
117,118,33,0,0,62.44,One-Year,DSL,0.0,Yes,1
118,119,56,1,14,100.54,Month-to-Month,DSL,1407.5600000000002,Yes,1
119,120,52,1,66,80.96,Month-to-Month,Fiber Optic,5343.36,Yes,1
120,121,52,0,9,58.15,Month-to-Month,Fiber Optic,523.35,Yes,1
121,122,35,0,0,88.89,Month-to-Month,Fiber Optic,0.0,No,1
122,123,59,0,0,50.88,Month-to-Month,Fiber Optic,0.0,No,1
123,124,30,1,9,31.29,Month-to-Month,Fiber Optic,281.61,Yes,1
124,125,50,0,3,98.79,Month-to-Month,DSL,296.37,No,1
125,126,66,1,0,86.14,Two-Year,Fiber Optic,0.0,Yes,1
126,127,35,0,28,98.61,One-Year,,2761.08,No,1
127,128,39,0,12,33.5,One-Year,Fiber Optic,402.0,Yes,0
128,129,45,1,6,105.34,Month-to-Month,Fiber Optic,632.04,Yes,1
129,130,39,1,46,85.76,Month-to-Month,Fiber Optic,3944.96,Yes,1
130,131,29,0,2,80.71,Month-to-Month,,161.42,No,1
131,132,45,1,62,86.22,Month-to-Month,DSL,5345.64,No,1
132,133,34,1,7,107.8,Month-to-Month,Fiber Optic,754.6,Yes,1
133,134,49,1,43,82.82,One-Year,,3561.26,No,1
134,135,35,0,18,82.29,One-Year,Fiber Optic,1481.22,No,1
135,136,60,1,35,119.16,One-Year,DSL,4170.599999999999,No,1
136,137,37,1,82,98.11,Month-to-Month,Fiber Optic,8045.019999999999,No,1
137,138,41,1,6,69.81,Two-Year,DSL,418.86,Yes,1
138,139,53,0,64,93.67,Month-to-Month,Fiber Optic,5994.88,No,1
139,140,32,0,9,65.03,Month-to-Month,,585.27,No,1
140,141,47,0,9,50.6,Month-to-Month,DSL,455.4,Yes,1
141,142,58,1,8,83.72,One-Year,,669.76,No,1
142,143,28,0,15,113.54,Two-Year,DSL,1703.1,Yes,1
143,144,46,1,3,113.62,Month-to-Month,,340.86,No,1
144,145,47,1,16,60.77,Two-Year,Fiber Optic,972.32,Yes,0
145,146,52,0,15,77.49,Two-Year,DSL,1162.35,Yes,0
146,147,32,1,28,49.05,Month-to-Month,DSL,1373.4,No,1
147,148,31,0,35,119.61,Month-to-Month,,4186.35,No,1
148,149,50,1,11,118.3,Month-to-Month,DSL,1301.3,Yes,1
149,150,47,0,7,88.46,Two-Year,DSL,619.2199999999999,Yes,1
150,151,47,1,6,102.4,Month-to-Month,Fiber Optic,614.4000000000001,No,1
151,152,48,1,4,94.36,One-Year,Fiber Optic,377.44,Yes,1
152,153,38,1,1,83.38,Month-to-Month,Fiber Optic,83.38,Yes,1
153,154,47,1,8,34.8,One-Year,DSL,278.4,Yes,1
154,155,47,1,6,70.93,Month-to-Month,DSL,425.58,No,1
155,156,37,1,67,90.73,One-Year,DSL,6078.91,No,1
156,157,63,1,16,90.98,Two-Year,DSL,1455.68,Yes,0
157,158,49,1,8,63.58,Two-Year,Fiber Optic,508.64,Yes,1
158,159,33,0,17,114.75,Two-Year,,1950.75,No,1
159,160,51,1,2,45.06,Month-to-Month,DSL,90.12,Yes,1
160,161,35,1,11,75.03,One-Year,Fiber Optic,825.33,Yes,1
161,162,52,1,19,92.18,Month-to-Month,Fiber Optic,1751.42,Yes,1
162,163,56,0,13,92.74,Month-to-Month,,1205.62,No,1
163,164,36,1,10,88.38,One-Year,,883.8,No,1
164,165,54,0,101,54.78,Month-to-Month,,5532.78,No,1
165,166,49,1,42,44.06,One-Year,DSL,1850.52,Yes,0
166,167,53,0,19,87.23,Two-Year,DSL,1657.37,No,1
167,168,63,1,16,83.94,Month-to-Month,Fiber Optic,1343.04,Yes,1
168,169,42,1,19,46.14,One-Year,DSL,876.66,No,1
169,170,37,0,4,93.46,Month-to-Month,Fiber Optic,373.84,Yes,1
170,171,36,1,10,70.97,Month-to-Month,,709.7,No,1
171,172,36,0,0,90.1,Month-to-Month,,0.0,No,1
172,173,44,1,12,105.36,Two-Year,,1264.32,No,1
173,174,48,1,15,45.28,Two-Year,Fiber Optic,679.2,No,1
174,175,47,1,5,31.72,Two-Year,Fiber Optic,158.6,Yes,1
175,176,53,1,66,100.12,Two-Year,Fiber Optic,6607.92,No,1
176,177,45,1,48,84.87,Month-to-Month,DSL,4073.76,Yes,1
177,178,59,0,25,92.97,Month-to-Month,,2324.25,No,1
178,179,42,0,15,105.43,One-Year,DSL,1581.45,No,1
179,180,72,1,40,102.25,Month-to-Month,Fiber Optic,4090.0,No,1
180,181,51,1,2,116.48,Month-to-Month,Fiber Optic,232.96,Yes,1
181,182,36,1,31,78.23,Month-to-Month,Fiber Optic,2425.13,Yes,1
182,183,34,1,2,73.96,One-Year,,147.92,No,1
183,184,49,0,31,66.17,One-Year,Fiber Optic,2051.27,Yes,0
184,185,42,1,6,43.83,Month-to-Month,,262.98,No,1
185,186,52,0,41,81.53,Month-to-Month,DSL,3342.73,Yes,1
186,187,49,1,57,54.93,One-Year,Fiber Optic,3131.01,Yes,0
187,188,44,0,3,112.92,One-Year,,338.76,No,1
188,189,36,0,12,82.49,Month-to-Month,Fiber Optic,989.88,Yes,1
189,190,29,0,79,83.36,One-Year,,6585.44,No,1
190,191,40,0,13,61.94,Month-to-Month,DSL,805.22,No,1
191,192,53,1,39,34.68,Month-to-Month,Fiber Optic,1352.52,Yes,1
192,193,47,0,17,32.86,One-Year,Fiber Optic,558.62,Yes,0
193,194,32,0,9,68.1,One-Year,,612.9,No,1
194,195,46,0,6,37.61,Month-to-Month,DSL,225.66,Yes,1
195,196,48,0,4,84.62,One-Year,,338.48,No,1
196,197,36,0,28,109.29,One-Year,Fiber Optic,3060.1200000000003,Yes,1
197,198,46,0,9,109.46,One-Year,DSL,985.14,Yes,1
198,199,45,1,14,89.31,One-Year,Fiber Optic,1250.34,No,1
199,200,33,1,13,49.01,One-Year,Fiber Optic,637.13,Yes,0
200,201,48,1,17,107.67,Month-to-Month,Fiber Optic,1830.39,Yes,1
201,202,50,0,40,109.75,Month-to-Month,,4390.0,No,1
202,203,55,0,78,47.7,Month-to-Month,Fiber Optic,3720.6,Yes,1
203,204,55,1,10,96.37,Month-to-Month,Fiber Optic,963.7,No,1
204,205,31,1,35,55.79,One-Year,Fiber Optic,1952.65,Yes,0
205,206,35,0,28,102.24,One-Year,DSL,2862.72,Yes,1
206,207,50,0,17,119.75,Month-to-Month,DSL,2035.75,Yes,1
207,208,50,0,62,32.7,Month-to-Month,Fiber Optic,2027.4,Yes,1
208,209,50,0,4,110.76,Month-to-Month,Fiber Optic,443.04,Yes,1
209,210,83,0,2,86.04,Month-to-Month,DSL,172.08,No,1
210,211,50,1,38,117.6,One-Year,Fiber Optic,4468.8,No,1
211,212,56,1,11,71.85,Month-to-Month,Fiber Optic,790.3499999999999,No,1
212,213,54,1,37,106.26,One-Year,DSL,3931.62,No,1
213,214,51,1,44,35.62,Two-Year,Fiber Optic,1567.28,Yes,0
214,215,41,1,1,60.18,Month-to-Month,DSL,60.18,Yes,1
215,216,52,1,42,36.03,Month-to-Month,,1513.26,No,1
216,217,37,1,11,117.78,Month-to-Month,,1295.58,No,1
217,218,42,0,14,103.53,One-Year,,1449.42,No,1
218,219,40,0,19,106.73,One-Year,DSL,2027.87,Yes,1
219,220,45,0,52,114.42,Month-to-Month,,5949.84,No,1
220,221,68,1,0,37.66,One-Year,,0.0,No,1
221,222,26,1,12,64.7,Two-Year,,776.4000000000001,No,1
222,223,51,0,23,36.39,Month-to-Month,DSL,836.97,No,1
223,224,28,1,25,48.97,Month-to-Month,Fiber Optic,1224.25,Yes,1
224,225,40,0,23,50.64,Two-Year,,1164.72,No,1
225,226,55,1,2,72.22,One-Year,Fiber Optic,144.44,Yes,1
226,227,45,0,7,54.17,Two-Year,Fiber Optic,379.19,No,1
227,228,34,0,8,39.09,One-Year,Fiber Optic,312.72,Yes,1
228,229,37,1,32,45.07,Two-Year,Fiber Optic,1442.24,Yes,0
229,230,51,0,6,43.25,Month-to-Month,DSL,259.5,No,1
230,231,37,0,4,117.58,One-Year,Fiber Optic,470.32,Yes,1
231,232,47,0,63,98.34,Two-Year,DSL,6195.42,No,1
232,233,45,1,0,117.1,One-Year,Fiber Optic,0.0,Yes,1
233,234,38,1,122,69.58,Month-to-Month,DSL,8488.76,No,1
234,235,66,0,22,55.05,Month-to-Month,Fiber Optic,1211.1,Yes,1
235,236,51,1,35,101.85,Month-to-Month,DSL,3564.75,No,1
236,237,24,1,6,59.36,Month-to-Month,Fiber Optic,356.16,No,1
237,238,46,0,0,56.94,Month-to-Month,,0.0,No,1
238,239,38,0,26,50.93,One-Year,DSL,1324.18,Yes,0
239,240,53,0,35,41.67,One-Year,DSL,1458.45,Yes,0
240,241,37,0,26,53.08,Month-to-Month,DSL,1380.08,Yes,1
241,242,43,1,3,61.98,One-Year,,185.94,No,1
242,243,50,0,28,90.66,Month-to-Month,Fiber Optic,2538.48,Yes,1
243,244,53,1,29,35.63,Month-to-Month,Fiber Optic,1033.27,Yes,1
244,245,32,1,21,48.95,Month-to-Month,DSL,1027.95,Yes,1
245,246,41,0,29,102.81,One-Year,Fiber Optic,2981.49,No,1
246,247,40,1,37,43.22,Month-to-Month,,1599.14,No,1
247,248,38,0,19,60.84,Month-to-Month,,1155.96,No,1
248,249,62,1,1,107.82,Month-to-Month,Fiber Optic,107.82,Yes,1
249,250,49,1,13,43.94,Two-Year,DSL,571.22,Yes,0
250,251,32,1,1,37.45,Month-to-Month,DSL,37.45,Yes,1
251,252,54,1,10,73.61,One-Year,DSL,736.1,Yes,1
252,253,66,0,10,57.22,One-Year,DSL,572.2,Yes,1
253,254,55,1,1,80.71,One-Year,DSL,80.71,Yes,1
254,255,29,1,8,102.34,Two-Year,DSL,818.72,Yes,1
255,256,40,1,2,42.34,Month-to-Month,Fiber Optic,84.68,Yes,1
256,257,57,1,33,82.26,Month-to-Month,,2714.5800000000004,No,1
257,258,37,1,59,75.5,Two-Year,Fiber Optic,4454.5,Yes,0
258,259,49,0,1,42.97,Month-to-Month,,42.97,No,1
259,260,52,0,62,86.16,One-Year,,5341.92,No,1
260,261,35,1,14,54.63,One-Year,DSL,764.82,Yes,0
261,262,44,0,7,73.91,One-Year,,517.37,No,1
262,263,12,1,1,37.4,Two-Year,DSL,37.4,No,1
263,264,34,1,13,71.36,Two-Year,Fiber Optic,927.68,No,1
264,265,42,0,31,57.58,One-Year,Fiber Optic,1784.98,Yes,0
265,266,32,0,24,104.01,Month-to-Month,,2496.24,No,1
266,267,61,1,1,35.13,Two-Year,DSL,35.13,Yes,1
267,268,30,0,1,67.67,Month-to-Month,DSL,67.67,Yes,1
268,269,40,1,10,71.26,Month-to-Month,,712.6,No,1
269,270,46,0,6,95.25,Two-Year,DSL,571.5,Yes,1
270,271,59,1,5,81.69,Month-to-Month,Fiber Optic,408.45,Yes,1
271,272,30,0,6,90.05,Month-to-Month,,540.3,No,1
272,273,56,1,32,99.93,Month-to-Month,,3197.76,No,1
273,274,45,0,52,107.6,Two-Year,,5595.2,No,1
274,275,35,1,10,58.25,One-Year,,582.5,No,1
275,276,49,0,47,78.42,One-Year,DSL,3685.74,Yes,0
276,277,46,1,7,105.61,Month-to-Month,,739.27,No,1
277,278,38,1,12,119.05,One-Year,Fiber Optic,1428.6,No,1
278,279,45,0,5,110.06,One-Year,Fiber Optic,550.3,Yes,1
279,280,41,0,20,63.43,Month-to-Month,DSL,1268.6,No,1
280,281,46,0,77,47.56,Month-to-Month,Fiber Optic,3662.12,No,1
281,282,51,1,18,74.05,Month-to-Month,,1332.9,No,1
282,283,60,1,8,96.75,Two-Year,,774.0,No,1
283,284,32,1,20,74.33,One-Year,Fiber Optic,1486.6,Yes,0
284,285,66,0,2,73.49,Two-Year,DSL,146.98,No,1
285,286,25,0,43,105.44,Month-to-Month,Fiber Optic,4533.92,No,1
286,287,43,1,13,62.53,One-Year,,812.89,No,1
287,288,50,1,11,107.38,One-Year,,1181.1799999999998,No,1
288,289,47,1,17,66.61,One-Year,Fiber Optic,1132.37,Yes,0
289,290,38,0,19,59.54,Two-Year,DSL,1131.26,Yes,0
290,291,42,1,1,70.86,Month-to-Month,Fiber Optic,70.86,Yes,1
291,292,40,0,22,98.62,Month-to-Month,Fiber Optic,2169.6400000000003,Yes,1
292,293,39,0,5,41.34,One-Year,,206.7,No,1
293,294,53,1,25,47.68,One-Year,Fiber Optic,1192.0,No,1
294,295,48,1,34,115.63,One-Year,Fiber Optic,3931.42,Yes,1
295,296,38,1,32,45.79,Month-to-Month,Fiber Optic,1465.28,Yes,1
296,297,53,0,16,81.1,One-Year,DSL,1297.6,Yes,0
297,298,48,0,14,82.14,Month-to-Month,,1149.96,No,1
298,299,53,1,3,74.07,Month-to-Month,Fiber Optic,222.21,No,1
299,300,51,1,29,88.03,One-Year,Fiber Optic,2552.87,Yes,0
300,301,36,0,6,50.68,One-Year,Fiber Optic,304.08,Yes,1
301,302,39,0,13,79.74,Month-to-Month,Fiber Optic,1036.62,Yes,1
302,303,52,0,6,63.5,Month-to-Month,Fiber Optic,381.0,No,1
303,304,51,1,2,89.55,Month-to-Month,,179.1,No,1
304,305,44,0,19,42.71,Month-to-Month,DSL,811.49,Yes,1
305,306,46,0,1,81.38,One-Year,Fiber Optic,81.38,Yes,1
306,307,57,0,27,46.67,Two-Year,DSL,1260.09,Yes,0
307,308,39,0,7,55.08,Month-to-Month,Fiber Optic,385.56,No,1
308,309,50,0,0,49.68,One-Year,DSL,0.0,Yes,1
309,310,42,1,14,46.46,Two-Year,Fiber Optic,650.44,Yes,0
310,311,42,0,0,104.31,Two-Year,,0.0,No,1
311,312,55,1,6,55.71,Month-to-Month,,334.26,No,1
312,313,53,0,24,113.44,Two-Year,Fiber Optic,2722.56,No,1
313,314,53,1,1,117.29,Month-to-Month,Fiber Optic,117.29,Yes,1
314,315,58,1,36,81.41,Month-to-Month,DSL,2930.76,No,1
315,316,45,1,0,42.87,Month-to-Month,Fiber Optic,0.0,No,1
316,317,51,1,5,63.71,Month-to-Month,,318.55,No,1
317,318,41,0,27,101.8,Month-to-Month,DSL,2748.6,Yes,1
318,319,48,0,7,63.07,Month-to-Month,Fiber Optic,441.49,Yes,1
319,320,43,1,2,37.83,Month-to-Month,,75.66,No,1
320,321,45,1,8,80.11,Two-Year,,640.88,No,1
321,322,50,1,6,106.06,Two-Year,DSL,636.36,Yes,1
322,323,36,1,36,101.63,Month-to-Month,Fiber Optic,3658.68,Yes,1
323,324,65,1,7,45.76,Two-Year,DSL,320.32,No,1
324,325,34,0,31,90.55,Two-Year,DSL,2807.05,Yes,0
325,326,32,0,44,49.85,One-Year,,2193.4,No,1
326,327,56,1,11,49.64,Month-to-Month,,546.04,No,1
327,328,52,1,48,108.67,One-Year,,5216.16,No,1
328,329,51,0,9,52.47,Two-Year,DSL,472.23,No,1
329,330,51,1,66,53.69,One-Year,,3543.54,No,1
330,331,44,0,1,30.06,Month-to-Month,Fiber Optic,30.06,No,1
331,332,36,1,23,108.36,One-Year,Fiber Optic,2492.28,Yes,1
332,333,45,0,13,101.33,One-Year,Fiber Optic,1317.29,Yes,1
333,334,38,0,9,86.46,One-Year,DSL,778.14,Yes,1
334,335,54,1,20,97.52,Month-to-Month,,1950.4,No,1
335,336,43,0,24,43.68,Month-to-Month,Fiber Optic,1048.32,Yes,1
336,337,36,1,0,71.25,Two-Year,DSL,0.0,Yes,1
337,338,41,1,3,61.61,Two-Year,DSL,184.83,Yes,1
338,339,49,1,24,38.44,Month-to-Month,DSL,922.56,Yes,1
339,340,39,0,21,73.75,Two-Year,DSL,1548.75,Yes,0
340,341,36,0,67,112.87,Month-to-Month,Fiber Optic,7562.29,No,1
341,342,47,0,28,33.61,One-Year,,941.08,No,1
342,343,47,1,60,56.23,One-Year,DSL,3373.8,Yes,0
343,344,39,1,24,48.68,Two-Year,DSL,1168.32,Yes,0
344,345,40,1,7,51.43,Two-Year,Fiber Optic,360.01,No,1
345,346,47,1,2,111.76,Month-to-Month,,223.52,No,1
346,347,30,1,30,72.13,Two-Year,Fiber Optic,2163.9,Yes,0
347,348,30,1,20,71.97,Month-to-Month,Fiber Optic,1439.4,No,1
348,349,37,0,0,98.45,One-Year,Fiber Optic,0.0,Yes,1
349,350,42,1,8,43.9,One-Year,DSL,351.2,Yes,1
350,351,48,0,62,73.85,One-Year,DSL,4578.7,No,1
351,352,59,1,13,68.7,Month-to-Month,,893.1,No,1
352,353,53,1,11,83.72,Two-Year,Fiber Optic,920.92,Yes,1
353,354,43,1,12,119.96,Month-to-Month,Fiber Optic,1439.52,No,1
354,355,44,0,4,99.25,Month-to-Month,,397.0,No,1
355,356,34,0,9,65.81,One-Year,Fiber Optic,592.29,No,1
356,357,44,0,9,104.48,Month-to-Month,DSL,940.32,Yes,1
357,358,42,0,1,45.36,Two-Year,Fiber Optic,45.36,Yes,1
358,359,48,0,29,32.74,Month-to-Month,DSL,949.46,Yes,1
359,360,36,1,10,48.4,Month-to-Month,DSL,484.0,Yes,1
360,361,50,1,34,60.64,Two-Year,Fiber Optic,2061.76,Yes,0
361,362,60,0,37,75.95,One-Year,,2810.15,No,1
362,363,43,0,4,85.36,Month-to-Month,,341.44,No,1
363,364,49,0,21,111.95,One-Year,Fiber Optic,2350.9500000000003,Yes,1
364,365,51,1,12,75.89,One-Year,DSL,910.68,Yes,0
365,366,40,1,42,75.11,One-Year,DSL,3154.62,Yes,0
366,367,47,1,4,34.52,Month-to-Month,,138.08,No,1
367,368,45,1,22,33.14,Two-Year,Fiber Optic,729.08,No,1
368,369,45,1,18,79.6,Two-Year,Fiber Optic,1432.8,No,1
369,370,37,1,6,69.44,One-Year,,416.64,No,1
370,371,45,0,2,105.53,Month-to-Month,,211.06,No,1
371,372,49,1,21,44.46,Two-Year,,933.66,No,1
372,373,59,0,26,32.25,One-Year,DSL,838.5,Yes,0
373,374,54,1,7,70.41,One-Year,,492.87,No,1
374,375,66,0,20,51.37,Month-to-Month,,1027.4,No,1
375,376,37,1,10,34.47,Two-Year,DSL,344.7,No,1
376,377,53,1,24,95.21,One-Year,Fiber Optic,2285.04,Yes,0
377,378,46,1,4,40.04,Month-to-Month,Fiber Optic,160.16,Yes,1
378,379,66,1,44,84.75,Month-to-Month,,3729.0,No,1
379,380,36,0,6,55.29,Two-Year,DSL,331.74,No,1
380,381,36,0,9,45.61,Month-to-Month,Fiber Optic,410.49,Yes,1
381,382,39,0,1,64.18,Two-Year,DSL,64.18,Yes,1
382,383,23,0,2,102.13,One-Year,,204.26,No,1
383,384,39,1,14,65.29,One-Year,DSL,914.06,Yes,0
384,385,37,0,6,97.57,Month-to-Month,DSL,585.42,Yes,1
385,386,46,1,36,41.29,Month-to-Month,Fiber Optic,1486.44,Yes,1
386,387,48,1,0,99.55,Two-Year,,0.0,No,1
387,388,63,1,9,51.32,Month-to-Month,DSL,461.88,Yes,1
388,389,54,0,8,90.97,One-Year,DSL,727.76,Yes,1
389,390,39,1,0,80.92,Month-to-Month,,0.0,No,1
390,391,36,1,2,113.62,Month-to-Month,Fiber Optic,227.24,Yes,1
391,392,49,1,10,64.86,Month-to-Month,,648.6,No,1
392,393,31,1,13,35.95,One-Year,DSL,467.35,Yes,0
393,394,63,1,10,31.72,Two-Year,Fiber Optic,317.2,Yes,1
